element,Z,Zv,channel,alpha1,alpha2,alpha3,c1,c2,c3,c4,c5,c6
Cd,48,12,l0,1.56,1.87,2.35,-9.1206,-0.0844,-0.3042,0.1489,0.0246,-0.0192
Cd,48,12,l1,1.16,1.38,1.54,-7.8625,-1.0969,-0.7517,0.2497,-0.0418,0.0235
Cd,48,12,l2,7.28,9.47,12.62,-2.8771,0.2491,-0.0034,-0.1818,-0.1768,-0.0596
Cd,48,12,so1,0.48,1.36,1.63,-0.1396,-0.0013,0.0081,0.0059,0.0018,0.0014
Cd,48,12,so2,1.84,2.25,2.96,-0.0308,-0.0156,-0.0035,-0.0018,0.0008,-0.0022
In,49,3,core,1.79,0.71,,6.7251,-5.7251,,,,
In,49,3,l0,1.09,1.66,2.96,-6.3577,-0.3902,0.2686,0.3024,0.0096,-0.0218
In,49,3,l1,0.99,1.24,1.53,-5.1150,-0.0727,-0.0221,0.1552,0.0791,0.0139
In,49,3,l2,0.64,0.72,0.91,-5.2975,-1.1521,-0.3480,0.0497,-0.0493,0.0448
In,49,3,so1,0.31,0.49,0.61,-0.1208,-0.0381,0.0107,-0.0080,0.0054,-0.0041
In,49,3,so2,0.20,0.29,0.39,-0.0203,-0.0060,-0.0001,0.0005,-0.0011,-0.0006
Sn,50,4,core,1.97,0.78,,5.0086,-4.0086,,,,
Sn,50,4,l0,1.48,1.93,2.82,-6.7306,0.4760,0.1040,0.2141,0.0298,-0.0166
Sn,50,4,l1,1.28,1.59,1.94,-5.5160,0.5027,-0.0915,0.1143,0.0767,0.0122
Sn,50,4,l2,1.06,1.32,1.49,-5.6362,0.0969,-0.2082,-0.0945,-0.0746,-0.0179
Sn,50,4,so1,0.41,0.77,0.94,-0.1525,-0.0372,0.0173,-0.0036,0.0036,-0.0036
Sn,50,4,so2,0.24,0.29,0.38,-0.0203,-0.0047,0.0005,0.0004,-0.0014,0.0011
Sb,51,5,core,2.12,0.85,,4.0534,-3.0534,,,,
Sb,51,5,l0,1.81,2.19,2.81,-7.0275,1.0069,-0.0067,0.1620,0.0202,-0.0189
Sb,51,5,l1,1.51,1.90,2.29,-5.7588,0.8375,-0.1826,0.0699,0.0757,0.0149
Sb,51,5,l2,1.27,1.42,1.57,-5.7899,0.4770,-0.2460,-0.0974,-0.0660,-0.0104
Sb,51,5,so1,0.57,0.93,0.97,-0.1759,-0.0179,0.0166,-0.0029,0.0038,-0.0035
Sb,51,5,so2,0.28,0.34,0.45,-0.0233,-0.0060,0.0004,0.0001,-0.0010,0.0007
Te,52,6,core,2.37,0.95,,3.5696,-2.5696,,,,
Te,52,6,l0,2.07,2.46,3.08,-7.4702,1.3178,-0.0530,0.1393,0.0120,-0.0217
Te,52,6,l1,1.61,1.84,2.40,-6.5344,0.7242,-0.0138,0.1103,0.0171,-0.0121
Te,52,6,l2,1.48,1.85,2.15,-6.1700,0.5686,-0.2999,-0.1996,-0.1109,-0.0218
Te,52,6,so1,0.48,0.63,0.84,-0.1852,-0.0511,0.0105,-0.0064,0.0008,0.0043
Te,52,6,so2,0.37,0.48,0.62,-0.0194,0.0016,0.0040,0.0010,-0.0027,0.0021
I,53,7,core,2.52,1.01,,3.0856,-2.0856,,,,
I,53,7,l0,2.08,2.47,3.13,-7.7267,1.0339,0.0336,0.1559,-0.0105,-0.0262
I,53,7,l1,1.80,2.11,2.63,-6.8333,0.9051,-0.0462,0.0953,0.0055,-0.0101
I,53,7,l2,1.70,2.12,2.47,-6.3176,0.8200,-0.3541,-0.2309,-0.1198,-0.0235
I,53,7,so1,0.40,0.70,2.64,-0.1789,-0.0723,0.0216,-0.0041,-0.0162,0.0105
I,53,7,so2,0.42,0.58,0.77,-0.0208,0.0026,0.0051,0.0012,-0.0029,0.0021
Xe,54,8,core,2.63,1.05,,2.6837,-1.6837,,,,
Xe,54,8,l0,2.47,2.85,3.29,-7.7726,1.6588,-0.0902,0.1167,-0.0116,-0.0293
Xe,54,8,l1,1.81,2.13,2.70,-6.8951,0.7362,0.0358,0.1124,-0.0019,-0.0182
Xe,54,8,l2,1.83,2.13,2.31,-6.4148,0.9902,-0.3344,-0.1465,-0.0759,-0.0148
Xe,54,8,so1,0.42,0.46,0.63,-0.2015,-0.0957,-0.0233,-0.0063,0.0113,-0.0062
Xe,54,8,so2,0.44,0.64,0.85,-0.0302,-0.0059,0.0031,-0.0001,-0.0010,0.0007
Cs,55,1,core,1.29,0.17,,7.8924,-6.8924,,,,
Cs,55,1,l0,0.38,0.70,0.89,-5.7556,-0.0946,-0.2594,0.0450,0.0541,0.0198
Cs,55,1,l1,0.27,0.46,0.58,-4.8922,-0.7649,-0.4366,0.0622,0.0028,0.0469
Cs,55,1,l2,0.47,0.52,0.67,-2.3938,-0.9885,-0.1755,0.0125,0.0751,0.0712
Cs,55,1,l3,0.17,0.31,0.51,-1.8177,-2.8221,-0.5775,-0.0553,-0.1098,0.1666
Cs,55,1,so1,0.10,0.29,0.35,-0.1297,-0.0030,0.0090,0.0061,0.0007,0.0007
Cs,55,1,so2,0.21,0.32,0.39,-0.0156,-0.0058,0.0045,-0.0028,0.0005,0.0018
Ba,56,2,core,1.34,0.25,,5.3338,-4.3338,,,,
Ba,56,2,l0,0.57,0.72,0.87,-6.5072,0.8849,-0.4698,-0.0209,0.0373,0.0135
Ba,56,2,l1,0.46,0.72,0.90,-6.1261,0.2875,-0.6345,-0.2950,-0.0459,0.0019
Ba,56,2,l2,0.72,0.79,1.18,-2.9066,-0.6623,-0.0283,-0.0097,0.0316,0.0372
Ba,56,2,l3,4.48,11.55,17.54,10.4771,1.7858,-0.1905,0.8932,-0.2398,0.3013
Ba,56,2,so1,0.11,0.17,0.21,-0.1239,0.0107,0.0291,0.0021,-0.0074,0.0043
Ba,56,2,so2,0.33,0.57,0.69,-0.0234,-0.0073,0.0057,-0.0023,0.0000,0.0013
Ba,56,2,so3,13.56,19.09,20.63,-0.1393,0.0474,0.1806,-0.0608,-0.0421,0.0630
La,57,11,core,5.00,2.00,,3.2494,-2.2494,,,,
La,57,11,l0,2.56,2.79,3.40,-10.6839,0.0617,0.0545,0.2446,-0.0025,-0.0350
La,57,11,l1,2.55,3.03,3.81,-10.0938,0.4797,-0.1510,0.1225,0.0262,-0.0149
La,57,11,l2,1.50,2.79,3.32,-8.3844,-1.8837,-0.3217,0.0580,0.0317,0.0179
La,57,11,l3,4.64,9.39,30.90,5.0661,3.1425,-0.7802,0.4424,-0.5445,0.1727
La,57,11,so1,0.55,1.59,1.65,-0.2335,-0.0690,0.0741,-0.0095,-0.0049,0.0028
La,57,11,so2,0.41,0.56,0.66,-0.0249,-0.0048,0.0056,-0.0018,-0.0001,0.0025
La,57,11,so3,11.37,15.03,19.99,-0.0272,-0.0065,0.0089,-0.0016,-0.0019,0.0022
Ce,58,12,core,5.32,2.13,,3.0538,-2.0538,,,,
Ce,58,12,l0,2.95,3.31,3.97,-11.2263,0.5418,0.0074,0.2271,0.0132,-0.0307
Ce,58,12,l1,2.66,3.16,3.95,-10.2554,0.4195,-0.1454,0.1292,0.0305,-0.0182
Ce,58,12,l2,1.59,2.92,3.40,-8.5475,-1.9114,-0.3301,0.0719,0.0353,0.0202
Ce,58,12,l3,5.44,11.16,38.88,5.5065,3.1187,-0.9227,0.3404,-0.4913,0.0987
Ce,58,12,so1,0.70,0.80,0.90,-0.2686,-0.0795,0.0154,-0.0245,0.0205,-0.0062
Ce,58,12,so2,0.35,0.59,0.73,-0.0247,-0.0084,0.0059,-0.0020,0.0005,0.0030
Ce,58,12,so3,13.01,17.35,23.09,-0.0301,-0.0073,0.0086,-0.0015,-0.0018,0.0020
Pr,59,13,core,5.53,2.21,,2.8422,-1.8422,,,,
Pr,59,13,l0,2.95,3.45,4.30,-11.2831,0.2599,0.0406,0.2377,0.0103,-0.0342
Pr,59,13,l1,2.79,3.28,4.05,-10.2961,0.4690,-0.1388,0.1338,0.0338,-0.0204
Pr,59,13,l2,0.83,1.27,3.92,-7.3276,-4.5230,-1.9614,-0.0697,-0.0213,-0.0179
Pr,59,13,l3,5.48,12.47,36.99,5.7790,3.5755,-0.8505,0.3427,-0.6118,0.2323
Pr,59,13,so1,0.86,1.23,1.60,-0.2966,-0.0571,0.0381,-0.0160,-0.0014,-0.0022
Pr,59,13,so2,0.36,0.57,0.71,-0.0251,-0.0087,0.0060,-0.0026,0.0016,0.0033
Pr,59,13,so3,15.00,20.26,26.28,-0.0382,-0.0082,0.0126,-0.0020,-0.0026,0.0027
Nd,60,14,core,5.69,2.28,,2.6639,-1.6639,,,,
Nd,60,14,l0,3.07,3.62,4.52,-11.2815,0.2837,0.0442,0.2418,0.0171,-0.0362
Nd,60,14,l1,2.85,3.39,4.25,-10.3011,0.3799,-0.1090,0.1422,0.0351,-0.0236
Nd,60,14,l2,0.96,1.20,3.92,-7.6071,-4.0643,-2.0017,-0.0662,-0.0387,-0.0086
Nd,60,14,l3,5.67,13.03,39.55,5.9335,3.6380,-0.8933,0.3147,-0.6081,0.2074
Nd,60,14,so1,0.92,1.38,1.77,-0.3183,-0.0626,0.0371,-0.0132,-0.0033,-0.0050
Nd,60,14,so2,0.37,0.59,0.73,-0.0258,-0.0091,0.0062,-0.0027,0.0016,0.0036
Nd,60,14,so3,15.35,20.51,27.37,-0.0329,-0.0085,0.0071,-0.0014,-0.0014,0.0016
Pm,61,15,core,5.91,2.36,,2.5202,-1.5202,,,,
Pm,61,15,l0,3.19,3.78,4.74,-11.3168,0.2798,0.0443,0.2472,0.0227,-0.0376
Pm,61,15,l1,2.86,3.49,4.44,-10.3472,0.1553,-0.0743,0.1570,0.0311,-0.0269
Pm,61,15,l2,0.85,1.45,3.63,-7.2561,-4.8386,-1.8650,0.0453,-0.1202,0.0318
Pm,61,15,l3,6.47,15.12,45.49,6.4562,3.6610,-0.9714,0.2472,-0.6095,0.1915
Pm,61,15,so1,0.96,1.45,1.85,-0.3384,-0.0732,0.0340,-0.0132,-0.0033,-0.0070
Pm,61,15,so2,0.39,0.65,0.79,-0.0270,-0.0092,0.0067,-0.0023,0.0004,0.0037
Pm,61,15,so3,17.63,23.78,31.49,-0.0386,-0.0096,0.0082,-0.0016,-0.0015,0.0017
Sm,62,16,core,6.07,2.43,,2.3958,-1.3958,,,,
Sm,62,16,l0,2.98,3.72,5.53,-11.2993,-0.4408,0.1275,0.2692,-0.0008,-0.0461
Sm,62,16,l1,2.92,3.58,4.60,-10.3462,0.0665,-0.0513,0.1662,0.0287,-0.0292
Sm,62,16,l2,0.88,1.48,3.69,-7.2714,-4.8568,-1.8893,0.0443,-0.1299,0.0379
Sm,62,16,l3,7.25,15.09,66.56,6.7894,3.4372,-1.0144,0.2271,-0.5059,-0.0087
Sm,62,16,so1,0.98,1.48,1.91,-0.3568,-0.0880,0.0299,-0.0145,-0.0033,-0.0087
Sm,62,16,so2,0.39,0.65,0.81,-0.0275,-0.0101,0.0068,-0.0027,0.0011,0.0040
Sm,62,16,so3,18.09,24.34,32.44,-0.0376,-0.0100,0.0066,-0.0015,-0.0012,0.0014
Eu,63,17,core,6.24,2.50,,2.2886,-1.2886,,,,
Eu,63,17,l0,3.21,4.09,5.57,-11.2950,-0.1543,0.1098,0.2707,0.0230,-0.0448
Eu,63,17,l1,2.95,3.63,4.86,-10.3464,-0.0883,-0.0251,0.1764,0.0249,-0.0323
Eu,63,17,l2,0.91,1.58,3.92,-7.2842,-4.9156,-1.8075,0.0301,-0.1176,0.0220
Eu,63,17,l3,7.15,16.06,65.19,6.8341,3.6642,-1.0629,0.1867,-0.5247,0.0133
Eu,63,17,so1,1.00,1.46,1.84,-0.3752,-0.1035,0.0222,-0.0170,-0.0037,-0.0103
Eu,63,17,so2,0.41,0.67,0.84,-0.0285,-0.0102,0.0071,-0.0027,0.0008,0.0042
Eu,63,17,so3,18.63,24.42,32.39,-0.0351,-0.0100,0.0037,-0.0013,-0.0004,0.0008
Gd,64,18,core,6.47,2.59,,2.2076,-1.2076,,,,
Gd,64,18,l0,3.23,4.13,6.14,-11.3219,-0.3734,0.1301,0.2828,0.0210,-0.0494
Gd,64,18,l1,3.03,3.78,4.94,-10.3903,-0.0394,-0.0334,0.1793,0.0281,-0.0326
Gd,64,18,l2,0.94,1.44,3.72,-7.3243,-4.8653,-2.1397,0.0450,-0.1612,0.0740
Gd,64,18,l3,6.09,20.42,52.53,6.6458,4.7028,-1.2897,-0.0164,-0.6041,0.2209
Gd,64,18,so1,1.09,1.63,2.03,-0.3951,-0.0976,0.0279,-0.0153,-0.0022,-0.0122
Gd,64,18,so2,0.50,0.73,0.77,-0.0305,-0.0069,0.0078,-0.0025,-0.0003,0.0041
Gd,64,18,so3,21.53,28.93,38.31,-0.0443,-0.0115,0.0068,-0.0015,-0.0011,0.0014
Tb,65,19,core,7.15,2.86,,2.2267,-1.2267,,,,
Tb,65,19,l0,4.01,4.85,6.06,-12.1597,0.5455,-0.0178,0.2425,0.0331,-0.0375
Tb,65,19,l1,3.78,4.86,5.79,-11.0516,0.7319,-0.2260,0.1016,0.0552,-0.0174
Tb,65,19,l2,0.89,1.13,4.80,-7.3381,-5.1014,-3.1648,-0.2815,-0.0193,-0.0042
Tb,65,19,l3,8.09,19.92,63.65,6.9653,3.8278,-1.1642,0.1398,-0.5686,0.0998
Tb,65,19,so1,1.41,1.81,1.93,-0.3912,-0.0063,0.0578,-0.0148,-0.0044,-0.0012
Tb,65,19,so2,0.41,0.61,0.72,-0.0281,-0.0099,0.0075,-0.0033,0.0019,0.0057
Tb,65,19,so3,22.20,29.71,38.86,-0.0484,-0.0120,0.0095,-0.0020,-0.0016,0.0019
Dy,66,20,core,7.34,2.94,,2.1510,-1.1510,,,,
Dy,66,20,l0,3.94,4.90,6.48,-12.1853,0.1544,0.0476,0.2623,0.0186,-0.0420
Dy,66,20,l1,3.60,4.46,6.43,-11.0914,0.1925,-0.0897,0.1503,0.0384,-0.0288
Dy,66,20,l2,0.98,1.07,4.95,-7.5499,-4.8079,-3.2512,-0.3080,-0.0226,-0.0046
Dy,66,20,l3,8.61,19.67,77.81,7.1684,3.7722,-1.1300,0.1562,-0.5380,0.0147
Dy,66,20,so1,1.29,1.99,2.49,-0.4123,-0.0485,0.0612,-0.0107,-0.0066,-0.0044
